id,title,image_link,country,years,director_description,leader,star,description,all_tags,imdb,language,time_length,Unnamed: 13
120,four springs,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2540578887.jpg,Chinese mainland,2019-01-04(中国大陆),Lu Qingyi,"['Lu Yunkun', 'Li Guixian', 'Lu Qingwei', 'Lu Qingsong', 'Lu Qingyi']",8.9,"""Four Spring"" is a documentary based on real family life. The director, who left home at the age of 15 and wandered in a foreign land for many years, took his parents in a small southern town as the protagonists and single-handedly recorded their beautiful daily lives over four years. In the poetic scene of a happy and slow life, the image slowly carves out the gentle changes of a happy family in the past twenty years, and how they face the passing of time and the ups and downs of life in their own way.",Documentary/Family,https://www.imdb.com/title/tt7124742,Guizhou Dushan dialect,105分钟,
121,Internet Mystery Searching,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg,USA/Russia,2018-12-14(中国大陆),Anish Chaganti,"['John Zhao', 'Mitchell Ra', 'Deborah Messing', 'Joseph Lee', 'Sarah Meebo Sun', 'Alex Jayne Gao', 'Yuechen Liu', 'Kaia Liu', 'Dominic Huffman', 'Sylvia Minassian', 'Melissa Disney', 'Connor McCleese', 'Colin Woodall', 'Joseph John Scherer', 'Ashley Edner', 'Courtney Lauren Cummings', 'Thomas Barbusaca', 'Julie Nathanson', 'Roy Abramson', 'Gage Birtof', 'Sean O'Brien', 'Rick Sarabia', 'Brad Abrel', 'Gabriel D. Angel']",8.6,"Engineer David King (played by John Cho) has always been proud of the 16-year-old girl Margot who suddenly disappeared. The police detectives who came to investigate the case suspected that the daughter had run away from home. The father, who was dissatisfied with this conclusion, launched an investigation on his own in order to find the truth. He opened his daughter's laptop and used social software to start looking for clues to solve the case. David must follow his daughter's footsteps in the virtual world to find her before she disappears...",Drama/Suspense/Thriller/Crime,https://www.imdb.com/title/tt7668870,English,102分钟,
122,A Clockwork Orange,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,UK / USA,1971-12-19(纽约首映),Stanley Kubrick,"['Malcolm McDowell', 'Patrick Markey', 'Michael Bates', 'Warren Clark', 'John Clive']",8.5,"Alis (Malcolm McDowell) is a young man who does all kinds of evil. His special hobby is to rape women while listening to Beethoven's symphonies. One time, after he entered a villa and robbed it, he maimed the owner of the villa, a novelist, and ravaged his wife with his special hobby. Later, because he killed a single woman, Alis was imprisoned and received special personality treatment. After he was released from prison, he became completely tired of pornographic things.
                                    
                                But when Alis returned home, the people around him did not change their old view of him. Under the weight of all kinds of discrimination, he ran to a villa in the suburbs to take a breather, but he did not expect that this villa was the novelist's house he had robbed before. As the leader of an anti-government organization, the novelist put Alis under house arrest in order to achieve a certain purpose. When this incident was revealed and the novelist was arrested, his subordinates threatened to restore Alis to his original temperament in order to fight against the government, completely ignoring Alis who shouted ""I am completely fine"".",Drama/Science Fiction/Crime,https://www.imdb.com/title/tt0066921,English,136 分钟,
123,Bohemian Rhapsody Bohemian Rhapsody,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,UK / USA,2019-03-22(中国大陆),Bryan Singer,"['Rami Malek', 'Ben Hardy', 'Joseph Mazzero', 'Gwilym Lee', 'Alan Leech', 'Lucy Boyton', 'Aidan Gillen', 'Tom Holland', 'Mike Myers', 'Aaron McCusker', 'Meneka Das', 'Dicky Bo', 'Tim Priest', 'Jack Roth', 'Max Bennett', 'Kieran Hardcastle', 'Rose Green', 'Bruce MacKinlan', 'Michelle Duncan', 'Matt Greenwood', 'Rosie Benjamin', 'John Altman', 'James Wallace', 'Vincent Adrian', 'Rusco Atkins', 'Jonathan Cheatham', 'Michael Cobb', 'Jesus Gallo', 'Adam Lambert', 'Jorge Leon Martinez', 'Jason Lines', 'Israel Lutz']",8.7,"A tribute to Queen, legendary frontman Freddie Mercury and their music, this film is a journey filled with love, pain, acceptance and music.
                                    
                                Freddie Mercury (played by Rami Malek) was once an ordinary porter at Heathrow Airport. Passionate about music, he formed the band Queen with Brian May (played by Gwillim Lee), Roger Taylor (played by Ben Hardy), and John Deacon (played by Joseph Mazzello). The creation of this palace-level band from scratch, from estrangement to reunion, from trough to peak, seems to be the epitome of Freddy's life. In his last days, Freddie made the most important decision in his life - to put all his passion into singing at the greatest ""life-saving"" large-scale rock and roll concert in the history of music.",Drama/Gay/Music/Biography,https://www.imdb.com/title/tt1727824,English,135分钟,
124,E.T.: The Extra-Terrestrial,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg,USA,1982-05-26(戛纳电影节),Steven Spielberg,"['Henry Thomas', 'Dee Warrens', 'Robert MacNafton', 'Drew Barrymore', 'Peter Coyote']",8.6,"Little Elliot (Henry Thomas) discovers a little alien who accidentally got lost. He quietly takes in the little alien and introduces him to his brother and sister. The children got along well with the alien, fed him chocolate, took him to the countryside to look for traces left by his family, and were excited about the little alien's various special functions. Gradually, Elliot formed a magical connection with the aliens, transcending the barrier of verbal communication.
                                    
                                But soon, the existence of aliens was known to the adults, and a ruthless pursuit began. ET was taken to the laboratory, and little Elliot became ill. The children were angry and organized themselves to rescue the aliens. Elliot also woke up under the inspiration of his soul and joined the rescue operation. Can they succeed?",Drama/Science Fiction,https://www.imdb.com/title/tt0083866,English,115分钟,
125,Princess Mononoke もののけhime,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,Japan,1997-07-12(日本),Hayao Miyazaki,"['Matsuda Yoji', 'Ishida Yuriko', 'Tanaka Yuko', 'Kobayashi Kaoru', 'Nishimura Masahiko', 'Kamijo Tsunehiko', 'Shimamoto Sumi', 'Watanabe Tetsu', 'Sato Yun', 'Nagoya Akira', 'Miwa Akihiro', 'Mori Mitsuko', 'Morishige Hisaya']",8.9,"In order to save the villagers in distress, Asdaka's right hand was cursed by the evil god. Daka had no choice but to leave his relatives and wander west to find a way to lift the curse. During the journey, he met poor villagers led by Master Fan Ji who were mining iron ore and refining the ore in the forest of Qilin Beast. The white wolf god Mona and her raised human girl ""Princess Mononoke"" Sang hated Fan Ji, because they felt that Fan Ji led everyone to destroy the forest. Asdaka, who wanted to help humans, was deeply attracted by Sang. He understood her, but had to fight her in order to help the poor. During a battle, Asdaka was rescued by the Qilin Beast, and his position became even more unstable. At this time, a group of people headed by Monk Liao came to kill the Qilin Beast. Fan Ji killed the Qilin with a musket, and the Qilin's head was snatched away by Monk Liao. The spirit spirit of the angry Kirin wreaks havoc on the forest in order to get his head back. Asdaka and Sang jointly decided to help Qilin regain his head.",Animation/Fantasy/Adventure,https://www.imdb.com/title/tt0119698,Japanese,134分钟,
126,sunny day,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,"Mainland China/Hong Kong, China",1995-06-28(中国香港),Jiang Wen,"['Xia Yu', 'Tranquility', 'Tao Hong', 'Geng Le', 'Siqin Gaowa', 'Feng Xiaogang', 'Liu Xiaoning', 'Jiang Wen', 'Wang Xueqi', 'Wang Shuo', 'Shang Nan', 'Fang Hua', 'Dai Shaobo', 'Wang Hai', 'Yao Erga', 'Wu Shukun', 'Zuo Xiaoqing', 'Han Dong', 'Sun Jing', 'Liu Bin', 'Zhang Wei', 'Yang Tonglin', 'Wang Hai', 'Wang Fu', 'Hu Beibei', 'Gao Baocheng', 'Wu Shukun', 'Zhang Hua', 'Er Yong', 'Liet Zi', 'Chen Wei']",8.8,"In Beijing in the early 1970s, adults were busy ""making revolution"" and had no time to pay attention to their children. In addition, schools were closed and they had nothing to do. Young people, especially the boys in the military compound, had fun on their own, squandering excess hormones by heckling, fighting, making trouble, and patting their mothers-in-law. Ma Xiaojun (played by Xia Yu) is such a young man. One of his hobbies is to open the lock of other people's homes with a master key and sneak in to have some fun. It is in this way that the photo of the girl Milan (played by Ning Jing) caught Ma Xiaojun's eyes before he did. Through Liu Yiku (played by Geng Le), the ""boss"" of the hospital, Ma Xiaojun met Milan again, whom he had accidentally glimpsed at the artillery station, and began to officially regard him as the lover of his dreams. However, in Milan's eyes, Ma Xiaojun is just a silly boy, and the person she likes is the mature, steady and handsome Liu Yiku. From then on, Ma Xiaojun ushered in a mixed adolescent life.
                                    
                                This film is adapted from Wang Shuo's short story ""The Ferocious Animals"". Xia Yu won the Best Actor (Silver Lion Award) at the 51st Venice International Film Festival for this film.",Drama/Romance,https://www.imdb.com/title/tt0111786,Mandarin Chinese,134分钟(中国大陆),
127,Undercarnator おくりびと,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,Japan,2008-09-13(日本),Takita Yojiro,"['Masahiro Motoki', 'Ryouko Hirosue', 'Tsuto Yamazaki', 'Wakko Yoshiyuki', 'Takashi Sasano', 'Miko Yuki']",8.8,"Kobayashi Daigo (played by Masahiro Motoki) bought an expensive cello and wanted to make a career. After four months of orchestral performance, what he got was the bad news that ""the orchestra was disbanded"" and a high debt to buy the instrument. Forced, Dawu and his wife Mei Xiang (played by Hirosue Ryoko) moved to the old house and lived a life of poverty. One day, an advertisement attracted Dawu's attention: NK agency, helping travel, high salary and short working hours. Dawu came to the NK agency for an interview. President Sasaki Shengei (played by Yamazaki Tsutomu) decided to hire Dawu without saying a word, but he avoided talking about the work content. Under Dawu's repeated questioning, President Sasaki finally said: It is the work of Nou Kan (Japanese Nou Kan)!
                                    
                                Although he was mentally wary, the high salary made Dawu accept the job. But such work is not easy for ordinary people. On the one hand, he is uncomfortable with the body, and on the other hand, he has to hide his work from his wife and friends. This is how Xiaolin Dawu's extraordinary work began.",plot,https://www.imdb.com/title/tt1069238,Japanese,130 分钟,
128,"Little Forest, Summer and Autumn, Ritaru・フォレスト Summer and Autumn",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,Japan,2014-08-30(日本),Junichi Mori,"['Hashimoto Ai', 'Miura Takadai', 'Matsuoka Mayu', 'Onmizu Yoichi', 'Kirishima Kaien']",9.0,"The ordinary girl Ichiko (played by Ai Hashimoto) grew up in Komori, a village in Northeastern Japan. This place is far away from the hustle and bustle of the city, surrounded by green mountains and green waters, just like a quiet and pleasant paradise. The villagers work at sunrise and rest at sunset, relying on a pair of hard-working hands to manage a small but comfortable life without competing with the world. Ichiko once traveled to Tokyo, but she was unable to adapt to the fast pace of the city, and eventually returned to the old house where her mother was no longer there. When she was a child, her mother Fukuko used various ingredients from the mountains and fields to make delicacies with random names. While the solid-eyed Ichiko lamented being deceived, she also kept the beautiful memories deep in her taste buds. As if following her mother's footsteps, she incorporates her love for her hometown into the cooking of her food. Surrounded by friends Yuta (played by Takahiro Miura) and Yoshiko (played by Mayu Matsuoka), enjoying a carefree life...
                                    
                                This film is adapted from the manga by Daisuke Igarashi.",plot,https://www.imdb.com/title/tt3474600,Japanese,111分钟,
129,Chungking Express Chungking Express,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,"Hong Kong, China",1994-07-14(中国香港),Wong Kar-wai,"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Leung', 'Faye Wong', 'Carina Chow']",8.7,"Policeman No. 223 (Takeshi Kaneshiro) suffered from lovelorn syndrome after falling out of love. After passing by and having a strange encounter with the blonde female killer (Brigitte Lin) and having a tender night, he originally thought that everything including ""love"" has a shelf life, but he unexpectedly experienced a short-term warmth in his heart. However, their love ended.
                                    
                                A new waitress in a fast food restaurant, A Fei (Faye Wong), fell in love with the police officer number 663 (Tony Leung) who often frequented the fast food restaurant. After opening the ""breakup"" letter his girlfriend (Carina Chow) left for him in the fast food restaurant, A Fei knew his mood, stole his key and sneaked into his house when he was not around. However, this was the beginning of their love.",Drama/Romance,https://www.imdb.com/title/tt0109424,Cantonese / Mandarin Chinese / English / Hindi / Japanese,102分钟,
130,The Sixth Sense The Sixth Sense,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,USA,1999-08-06(美国),M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams', 'Donnie Wahlberg', 'Travor Morgan', 'Peter Anthony Tumbertis', 'Glenn Fitzgerald', 'Mischa Barton', 'Lisa Summerour', 'Fardes Bam', 'Jeffrey Zebnis']",8.9,"Mike (Bruce Willis) is a famous child psychologist, but he also has patients who have never been cured, and he was even shot because of this. The teenager also drank the gun and killed himself. This brought a great psychological shadow to Mike. A year later, he found another boy, Cole (Haley Joel Osment), whose symptoms were very similar to this patient, and patiently became his doctor. Cole is not easy to get close to, but Mike slowly wins his trust and learns Cole's secret. supernatural sixth sense and can see ghosts. Although this was unbelievable, Mike helped Cole accept the fact after confirming the truth.
                                    
                                But just when the problem was about to be solved, Mike, under the guidance of Cole, discovered an even more shocking secret...",Drama/Suspense/Thriller,https://www.imdb.com/title/tt0167404,English / Latin / Spanish,107分钟,
131,Gift from room 7 7번방의 선물,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,South Korea,2013-01-23(韩国),Li Huanqing,"['Yoo Seung-ryong', 'Park Shin-hye', 'Jung Jin-young', 'Kim Jung-tae', 'Oh Dal-soo', 'Park Won-sang', 'Jung Man-sik', 'Kak So-won']",8.9,"In 1997, Li Yongjiu (played by Liu Chenglong), a mentally retarded man with an IQ of only 6 years old, and his lovely daughter Ye Sheng (played by Ge Suyuan) depended on each other. Although their lives were simple and poor, they were full of happiness. One day, Long Jiu, who was obsessed with buying a Sailor Moon schoolbag for his daughter, was accidentally involved in a child abduction, rape and murder case, and the deceased turned out to be the police chief's daughter. Long Jiu was ignorant, confused about the situation, and was thrown into prison after being dizzy. In cell No. 7, there are ""social scum"" with all five evils including smuggler So Yang-ho (played by Oh Dal-soo), fraudster Cui Chun-ho (played by Park Won-sang), adulterer Kang Wan-beom (played by Kim Jung-tae), intimidator Lao Seo (played by Kim Ki-chan) and robber Shen Bong-sik (played by Jung Man-sik). Long Jiu's childlike pure heart gradually moved these ""big villains"", and they even took the risk to bring Yisheng into the cell to meet his father.
                                    
                                In the dark and cold prison, cell No. 7 is full of sunshine...",Drama/Comedy/Family,https://www.imdb.com/title/tt2659414,Korean,127分钟,
132,Gone Girl Gone Girl,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,USA,2014-09-26(纽约电影节),david fincher,"['Ben Affleck', 'Pike Pike', 'Neil Patrick Harris', 'Kelly Coon', 'Tyler Perry', 'Kim Dickens', 'Missy Pyle', 'Boyd Holbrook', 'Emily Ratajkowski', 'Sela Ward', 'Patrick Fugit', 'Scott McNairy', 'Casey Wilson', 'Lee Norris']",8.7,"On the morning of his fifth wedding anniversary, Nick Dunn (Ben Affleck) came to his sister Margo (Carrie Coon)'s bar, cursing and complaining about his once loving wife Amy (Rosamund Pike) and a completely hopeless marriage. When he returned home, he found traces of violence left in the living room and his wife was missing. Female detective Rhonda Bonnie (played by Kim Dickens) rushes to investigate after receiving the report, and the various clues left at the scene seem to indicate that this is not an ordinary disappearance case, and that behind it may be hidden a murder that broke out from the relationship between husband and wife. Amy's disappearance quickly became famous throughout the country through the media's exaggeration and speculation. Nick, who had bad behavior, was pushed to the forefront. His lover who has not yet been seen conducted a ruthless trial on him. The sweet words of you and me have already turned into blood-washed revenge and torture...
                                    
                                The film is adapted from the novel of the same name by Gillian Flynn.",Drama/Suspense/Thriller/Crime,https://www.imdb.com/title/tt2267998,English,149分钟,
133,red pepper パプリカ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,Japan,2006-09-02(威尼斯电影节),Kon Satoshi,"['Emi Hayashibara', 'Toru Emori', 'Horikatsu Nosuke', 'Toru Furutani', 'Akio Otsuka', 'Kiroichi Yamadera', 'Hideyuki Tanaka', 'Rimi Okara', 'Mitsuo Iwata', 'Aikawa Rikako', 'Kawase Akiko', 'Ota Shinichiro', 'Fukumatsu Shinsa', 'Katsu Anri', 'Miyashita Eiji', 'Kosan Sanhe', 'Kontoshi', 'Yasutaka Tsutsui']",9.0,"In the near future, in order to treat the increasing number and more serious mental illnesses of modern humans, the Institute of Psychiatric Medicine in Tokyo has developed a machine that can reflect the dreams of others. With the help of micro DC, dreams are presented on the monitor, making it easier to find the crux of a person's anxiety.
                                    
                                One day, three micro-DCs were stolen, and the dreams of the researchers related to them were invaded one after another, and they were subsequently seriously injured. Another identity of beautiful medical doctor Chiba Atsuko is the dream detective ""Red Hot Chili Pepper"". She can experience dreams simultaneously with her patients. In order to prevent the thieves from using the micro DC to do further evil, she had to sneak into the victim's dream to find the terrorists. A battle full of fantasy and thrills began immediately...
                                    
                                The film was shortlisted for the main competition of the 2006 Venice Film Festival, and won the Critics' Choice Award at the 2007 Portuguese Fantasy Film Festival and the People's Choice Award at the 2006 Montreal Film Festival.",Science Fiction/Animation/Suspense/Thriller,https://www.imdb.com/title/tt0851578,Japanese,90 分钟,
134,Small Forest Winter and Spring Chapter Ritaru・フォレスト Winter・Spring,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg,Japan,2015-02-14(日本),Junichi Mori,"['Hashimoto Ai', 'Miura Takadai', 'Matsuoka Mayu', 'Onmizu Yoichi', 'Kirishima Kaien']",9.0,"Unable to integrate into the noisy and noisy big city, Ichiko (Ai Hashimoto), an ordinary girl, chose to return to her hometown of childhood - Komori Village in the northeastern region of Japan. There is not too much fashion and civilization here. The locals live a traditional life of sunrise and sunset. They rely on the sky for their food and their hands to manage their lives. Although life is not rich, my heart is full of fulfillment and joy. Influenced by her mother (played by Kirishima Yuki), Ichiko seems to have a particularly strong interest in making various delicious and cheap dishes with her own hands. Mom has been missing for a long time, and memories and reappearances of cooking have become a unique way of communication between mother and daughter. What's more, there are all kinds of ingredients taken from nature, so how can we waste such good time? Accompanied by his friends Noriko (played by Matsuoka Mayu) and Yuta (played by Miura Takahiro), Ichiko quietly walked through the spring, summer, autumn and winter...
                                    
                                This film is adapted from the original work of manga artist Daisuke Igarashi.",plot,https://www.imdb.com/title/tt3474602,Japanese,120分钟,
135,Love before dawn Before Sunrise,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,United States / Austria / Switzerland,1995-01-27(美国),Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Bossier', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Ernie Mangold', 'Dominik Castell', 'Haymon Maria Buttinger', 'Harald Waiglein', 'Hans Weingartner', 'Peter Ily Huemer', 'Hubert Fabian Kulterer', 'John Sloss', 'Christian Ankowitsch', 'Adam Goldberg', 'Paul Poet']",8.8,"American young Jesse (Ethan Hawke) encounters French female student Selina (Julie Delpy) on the train, and the two have a pleasant conversation on the train. When the train arrived in Vienna, Jesse warmly invited Selina to visit Vienna with him, even though Jesse had to leave by plane the next day. Selina, who fell in love with Jesse at first sight, accepted Jesse's invitation.
                                    
                                As they toured the city, they talked about each other's past and each other's thoughts on life, and the two of them got to know each other more deeply. They cherished this wonderful night very much. The couple experienced many romantic experiences together because they agreed to meet again in half a year, and this date would end between sunrise...",Drama/Romance,https://www.imdb.com/title/tt0112471,English/German/French,101分钟,
136,all,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,Taiwan / Japan,2017-07-28(中国台湾),Edward Yang,"['Wu Nianzhen', 'Li Kaili', 'Jin Yanling', 'Zhang Yangyang', 'Xiao Shushen', 'Ogata Yicheng', 'Chen Xisheng', 'Lin Mengjin', 'Chen Yiwen', 'Ke Yulun', 'Zhang Yubang', 'Ke Suyun', 'Tang Ruyun', 'Xu Shuyuan', 'Zeng Xinyi', 'Tao Chuanzheng']",9.0,"NJ (Wu Nianzhen) is a very principled businessman. He lives with his Minmin (Jin Yanling), daughter Tingting (Li Kaili), son Yangyang (Zhang Yangyang) and his grandmother in an ordinary apartment in Taipei. After a troublesome wedding for his brother-in-law, his grandmother suddenly suffered a stroke and fell into a coma, and he ushered in even more chaotic days.
                                    
                                Minmin works both at work and at home, and often feels like she's being wasted; Tingting has always felt guilty for her grandmother's stroke, and in the middle of the relationship, she realizes that she is just a substitute; NJ is in even more troubles, the company is facing bankruptcy, and he is unwilling to let go of his worthless self-esteem in the eyes of others. In the family, only Yangyang seems to have no worries. He calmly takes photos of the backs of various people with his camera and helps them grow another pair of eyes. However, Yangyang's simple words reveal a deeper sadness.",Drama/Romance/Family,https://www.imdb.com/title/tt0244316,Chinese Mandarin / Hokkien / English / Japanese,173分钟,
137,Listen carefully,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,Japan,1995-07-15(日本),Yoshifumi Kondo,"['My real name is Yoko', 'Kobayashi Keishu', 'Takayama Minami', 'Takahashi Issei', 'Yamashita Yoshie', 'Muroi Shigeru', 'Rokuchi Shigeru', 'Iizuka Masamimi']",8.9,"Yue Daowen, who is in the third grade of junior high school, is a girl who likes to read. Every time she sees the name Tianze Shengsi on her library card, she is full of curiosity about this person. One day she was discussing writing poetry with her friend Xizi. Xizi told Wen that she had received a love letter, but in fact Xizi already liked someone. What was even more unexpected was that the person Xizi liked was Sucun, who liked Wen. Wen was very confused for a moment. Wen accidentally came to a small shop. It turned out that the owner was Shengsi's grandfather. After getting to know Shengsi and hearing about Shengsi's pursuit of his ideals, Wen was inspired to pursue his own ideals. When Shengsi left to study violin making in Italy, Wen decided to examination on concentrate writing. After Wen completed the work, she realized that she had overestimated herself, so she chose to continue taking the high school entrance. At this time, she missed Shengsi very much. One early morning, she stood by the window and suddenly saw a familiar figure...",Drama/Romance/Animation,https://www.imdb.com/title/tt0113824,Japanese/English,111分钟,
138,Tang Bohu lights the autumn fragrance Tang Bohu lights the autumn fragrance,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,"Hong Kong, China",1993-07-01(中国香港),Li Lizhi,"['Stephen Chow', 'Gong Li', 'Chen Baixiang', 'Zheng Peipei', 'Zhu Mimi', 'Liang Jiaren', 'Yuan Qiongdan', 'Liang Rongzhong', 'Huang Yishan', 'Huang Zhan', 'Ng Chun Yu', 'Liu Jiahui', 'Lan Jieying', 'Gu Dezhao', 'Chen Huihong', 'Li Jianren', 'Xuan Xuan', 'Wen Cuiping']",8.6,"Tang Bohu (played by Stephen Chow) is the leader of the four great talents in Jiangnan, but he has endless sadness. King Ning wanted Tang Bohu to help him plot a rebellion, but Tang Bohu had no choice but to use his internal power to change his pulse, making everyone believe that he was not going to die soon. His mother complained that he should not expose his kung fu because their family had been hunted by their enemies back then. While traveling with friends, Tang Bohu met the beautiful Qiu Xiang and fell in love with her at first sight. He decided to go to Washington to pursue Qiu Xiang as a servant. Tang Bohu was named Hua'an. During this period, Taishi Hua encountered Prince Ning who came to make things difficult. Fortunately, Tang Bohu came to help and revealed his identity as Tang Bohu. Only then did Qiu Xiang realize that Hua An was Tang Bohu whom she admired. Mrs. Hua had a grudge against the Tang family, so the two began to fight. Unexpectedly, Prince Ning and the scholar who stole the face came to visit again. Mrs. Hua was no match. Fortunately, Tang Bohu took action. Mrs. Hua also agreed to betroth Qiuxiang to Tang Bohu.",Comedy/Romance/Costume,https://www.imdb.com/title/tt0108289,Cantonese,102 分钟,
139,Mary and Max Mary and Max,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg,Australia,2009-01-15(圣丹斯电影节),Adam Elliott,"['Toni Collette', 'Philip Seymour Hoffman', 'Barry Humphreys', 'Eric Bana', 'Bettany Whittemore', 'Renee Gaye', 'Ian Morley Meldrum', 'Julie Forsyth', 'John Flowers', 'Christopher Massey', 'Caroline Shakespeare-Allen', 'Lynn Smith', 'Michael Ienna']",8.9,"In 1976, 8-year-old Mary Daisy Dingle (voiced by Bethany Whitmore) is a little girl in Melbourne, Australia, who likes the cartoon ""Noblit"", sweetened condensed milk and chocolate. Mary's mother is an alcoholic, and her father, who works in a tea packaging factory, only likes to make bird specimens. Lonely Mary has no friends, and one day she writes a letter to Max Jerry Horowitz (voiced by Philip Seymour Hoffman) in New York City on a whim, asking where American children come from, and attaches a cherry chocolate bar. Max, 44, is autistic and obese. He also happens to like watching ""Noblit"" cartoons and eating chocolate. The pen pal relationship between the two lasted from 1976 to 1994, during which each experienced many ups and downs in life, until the adult Mary (voiced by Toni Collette) finally came to New York to visit Marx...
                                        
                                    The film won the Best Animated Feature Award at the 2009 Annecy International Animation Film Festival in France, the Crystal Bear Award at the Berlin International Film Festival and the Ottawa International Animation...",Drama/Comedy/Animation,https://www.imdb.com/title/tt0978762,English / Yiddish,92分钟,
140,Detachment,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,USA,2011-04-25(翠贝卡电影节),Tony Kaye,"['Adrien Brody', 'Marcia Gay Harden', 'James Caan', 'Christina Hendricks', 'Lucy Liu', 'Blythe Danner', 'Tim Blake Nelson', 'William Peterson', 'Bryan Cranston', 'Sammy Gayle', 'Louis Zorich', 'Isiah Whitlock Jr.', 'David Hausen', 'John Senadiembo', 'Celia O', 'Ronan Rubinstein', 'Al Calderon', 'Brennan Brown', 'Reagan Leonard', 'James Horsey', 'Josh Pass', 'Renee Felice Smith', 'Doug E. Doug', 'Patricia Rae', 'Samantha Rogan', 'Ralph Rodriguez']",8.9,"Henry Bachert (Adrien Brody) comes to the community school as a substitute teacher. The school is on the verge of collapse due to student rebellion and poor management, and a group of teachers headed by Doris (Lucy Liu) is suffering. Henry encountered provocations from naughty students in his first class, but he skillfully resolved them. He wins the favor of female teacher Sasha (Christina Hendricks). At the same time, his teaching methods aroused the interest of his classmates, including Meredith, who was suffering from obesity. She has been silently enduring all kinds of scolding and ridicule caused by her weight. But because of the teacher, she seemed to have found a reason for everything...
                                        
                                    However, Henry was actually under a lot of pressure. His grandfather was dying, and the shadow of his mother's always lingered in his mind. One night, he was dejected and crying alone on the bus. This situation was witnessed by Erica (Sami Gayle), a young prostitute who had just been bullied by her client. She follows him, hoping to get his help. He initially refused her request, but later he still put her...",plot,https://www.imdb.com/title/tt1683526,English,97分钟,
141,A Chinese Ghost Story,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,"Hong Kong, China",1987-07-18(中国香港),Cheng Xiaodong,"['Leslie Cheung', 'Wang Zuxian', 'Wuma', 'Liu Zhaoming', 'Lin Wei', 'Xue Zhilun', 'Hu Dawei', 'Wang Jing']",8.7,"Scholar Ning Caichen (played by Leslie Cheung) fails to collect his debts and has nowhere to go, so he spends the night at the ghost temple Lanruo Temple. He meets the knight Yan Chixia (played by Wu Ma), and the two become neighbors. One day, he meets the beautiful girl Xiaoqian (played by Wang Zuxian) by chance, and the two fall in love with each other. However, Xiaoqian is a ghost controlled by the tree demon grandma, who specializes in tricking strong men to absorb yang energy on her behalf. Xiaoqian saw that Ning Caichen was kind-hearted and couldn't bear to harm her, and her relationship with him gradually deepened. Ning Caichen wanted to save Xiaoqian from her grandmother's clutches, but due to her grandma's profound skills, Xiaoqian could not escape from her clutches. The two then asked Yan Chixia for help...",Romance/Fantasy/Martial Arts/Costume,https://www.imdb.com/title/tt0093978,Cantonese,98分钟(香港),
