id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
388,Pride Pride,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2218469416.jpg,U.K.,2014-05-23(戛纳电影节),Matthew Warchus,"['Ben Schnetzer', 'George MacKay', 'Paddy Considine', 'Imelda Staunton', 'Bill Nighy', 'Monica Dolan', 'Dominic West', 'Andrew Scott', 'Joseph Gilgan', 'Faye Massey', 'Freddie Fox', 'Joshua Hill', 'Carina Fernandez', 'Liz White', 'Sofia Evans', 'Russell Tovey']",8.3,"In 1984, British Prime Minister Margaret Thatcher took an iron-handed approach to suppress the labor movement, and the miners launched the largest strike in history. At the London Gay Pride Parade that same year, a group of gays and lesbians decided to take the initiative to raise funds for striking workers. However, embarrassment also ensued: the union was ashamed to accept their funding! This group of gays decided to bypass the union and go directly into the workers' homes. They drove to a coal mining village in South Wales, bringing money and supplies to working-class families. The two groups with vastly different backgrounds had an unexpectedly warm contact and formed the most unlikely alliance under government pressure.
                                    
                                ""Pride"" is adapted from real events. It not only has historical images of the labor movement in the 1980s, but also records the most touching page in the history of British gays. The transformation of the two groups from prejudice to tolerance, from misunderstanding to alliance is full of laughter and tears, and it is also moving. ""Pride"" won the Queer Palm Award at the 67th Cannes Film Festival and the British Best Independent Film Award. It was also nominated for the 2015 Golden Globe Award for Best Comedy Film.",Drama/Comedy/Gay/History,https://www.imdb.com/title/tt3169706,English,120分钟,
389,The Tale of Genji: The Thousand-Year Mystery The Tale of Genji: The Thousand-Year Mystery,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p972193374.jpg,Japan,2011-12-10,Yasuo Tsuruhashi,"['Ikuta Toma', 'Nakatani Miki', 'Kubatsuka Yosuke', 'Higashiyama Noriyuki', 'Maki Yoko', 'Tabe Mikako', 'Ashina Hoshi', 'Renbutsu Misako', 'Muroi Shigeru', 'Tanaka Rina']",6.6,"This version of ""The Tale of Genji: The Thousand-Year Mystery"" was directed by Yasuo Tsuruhashi. It not only used CG, but also added action scenes and science fiction effects. The production cost was more than one billion yen (equivalent to more than 78 million yuan). It was released nationwide on December 10, 2011.
                                    
                                The film intersects the peace era where the original author Murasaki Shikibu (played by Miki Nakatani) lives with the world where Hikaru Genji (played by Toma Ikuta) lives, and the two clues run parallel. In a space, Murasaki Shikibu was appointed by Noriyuki Fujiwara to start writing ""The Tale of Genji"" and fell in love with Michio Fujiwara. Another space is the love entanglement between Hikari Genji and many women such as the Barnacle Lady (played by Yoko Maki), Rokujo Gojisho (played by Tanaka Rina), Yugao (played by Ashina Hoshi) created by Murasaki Shikibu. During the closed creative process, Murasaki Shikibu appeared in an out-of-body state, overlapping with the soul of the Rokujo Gokisho who fell in love with Hikari Genji and became a living being. Onmyoji Abe Seimei (Kubatsuka Yosuke) discovered this situation and began to track the creatures...",Drama/Romance,https://www.imdb.com/title/tt1705064,Japanese,136分钟,
390,Professor Marston and the Wonder Women Professor Marston and the Wonder Women,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502244869.jpg,USA,2017-09-09(多伦多电影节),Angela Robinson,"['Luke Evans', 'Rebecca Hall', 'Bella Heathcote', 'Connie Britton', 'Monica Giordano', 'John Joseph Field', 'Chris Conroy', 'Oliver Platt', 'Maggie Castle', 'Alex Harveys', 'Sharon Cooper', 'Ali Gallerani', 'Christopher Jon Gombosh']",7.9,"Wonder Woman creator and renowned psychologist Dr. William Marston is a BDSM enthusiast who has two long-term partners, one is his wife, who is also a psychologist, and the other is his former student. The three had a harmonious relationship, and even after his death, the two women continued to raise their children together.",Drama/Romance/Gay/Biography,https://www.imdb.com/title/tt6133130,English,108分钟,
391,Legend of the Guardians: The Owls of Ga'Hoole,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p544639498.jpg,USA/Australia,2010-11-12(中国大陆),Zack Snyder,"['Jim Sturges', 'Hugo Weaving', 'Emily Draven', 'Ryan Kwanten', 'Helen Mirren', 'Sam Neill', 'Abbie Cornish', 'David Wenham', 'Rachel Taylor', 'Richard Roxburgh', 'Miriam Margolyes', 'Geoffrey Rush']",7.4,"In the dense and tranquil Barn Owl Forest, Owl Noctus lives with his wife and children on the branches of a towering tree. Her son Sauron (voiced by Jim Sturgess) is extremely obsessed with the legend of the Guardians. It is said that a long time ago, the evil ""purebred"" (tyrannosaurus) king wearing a steel beak oppressed the owl people. At the critical moment, the guardians stepped forward and defeated the king and his minions, but the losers never gave up the idea of ​​revenge. Sauron, who longed for ancient legends, made his brother Kurud (voiced by Ryan Kwanten) so angry that he pushed him off the tree. Two little guys who have not yet learned to fly freely fall to the dangerous ground. They avoid attacks from various beasts, but they cannot avoid becoming the targets of evil hunters. The brothers, along with other species of owls, were captured and taken to the mysterious Holy Owl School, where they received rigorous training and learned different skills. The long-dormant war in the Owl Kingdom is about to be ignited again...
                                    
                                The film is adapted from the classic children's literature by Catherine Lasky.",Action/Animation/Fantasy/Adventure,https://www.imdb.com/title/tt1219342,English,97分钟,
392,Irrational Man Irrational Man,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254317693.jpg,USA,2015-05-15(戛纳电影节),woody allen,"['Emma Stone', 'Joaquin Phoenix', 'Jamie Blakely', 'Parker Posey', 'Ethan Phillips', 'David Aaron Baker', 'Meredith Hegner', 'Ben Rosenfield', 'Sophie von Heiselberg']",7.3,"Abe (played by Joaquin Phoenix) is a personable university philosophy professor who is deeply loved by his classmates and teachers. Dealing with his own id and superego every day makes Abe inevitably fall into a crisis of nihilism. One day, a female student named Jill (Emma Stone) came to his class. Jill was enthusiastic and cheerful. Many of her philosophies coincided with Abe's, and a deep affection soon developed between teachers and students.
                                    
                                One day, Abe and Jill were eating in a restaurant and overheard her neighbor complaining about a judge who had caused her to lose custody of her child. What Jill didn't expect was that not long after, she saw the news of the judge's death. Jill thought about it and felt that the matter had something to do with Abe. Also aware of this was Abe's colleague Rita (Parker Posey), but Rita had her own plan.",plot,https://www.imdb.com/title/tt3715320,English,96分钟,
393,Pure Heart·Chasing Dreams in the Entertainment Circle,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510130772.jpg,Chinese mainland,2017-09-22(中国大陆),Bi Zhifei,"['Zhu Yiwen', 'Li Yanman', 'Chen Sihan', 'Zhang Zhirong', 'Bi Zhifei', 'Jiang Long', 'Xue Hao', 'Wang Yuanhui', 'Xin Zuoyu', 'Lan Hailong', 'Jiang Peiyao', 'Guo Ting', 'Wang Xiaoyi', 'Ma Yuyao', 'Zhang Linran', 'Liu Ziming', 'Wang Quhaoran', 'Yang Jiajia', 'Liu Lingyu']",2.2,"Haiya Film and Television Academy (fictional) has become one of the famous film and television schools in China in recent years. The 2013 undergraduate class of its acting department has outstanding student image and artistic conditions. It has attracted the attention of teachers and students from the beginning of the school and is known as the ""quasi-star class"". The class teacher Wen Tianyang is young and handsome. He has just graduated with a master's degree and is staying in school. He is serious and responsible.
                                        
                                    There are 17 students in the class, 8 boys and 9 girls, with different family backgrounds, growth experiences, and personalities: some students have superior family conditions, including luxurious seaside villas, yachts, and sports cars; some students are the children of ordinary working-class students; some students come from ethnic minorities in backward and remote mountainous areas; and some students are troubled children from single-parent families... Being able to successfully fight among thousands of troops and obtain the acting major has attracted much attention. They are the proud sons of heaven, full of enthusiasm, and they are all fighting for their beautiful dreams in their best youth.
                                        
                                    Actors are a relatively passive profession, and they often need to meet with groups and promote themselves. Students majoring in acting will inevitably have more and earlier contact with society than ordinary majors. There are many temptations in the city, and the film and television industry is equally complex. Their youth and beauty have also attracted the attention of all kinds of people. arts...",Drama/Comedy,https://www.imdb.com/title/tt4986830,Mandarin Chinese,98分钟,
394,Lincoln Lincoln,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1789645296.jpg,USA,2012-11-16(美国),Steven Spielberg,"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt', 'James Spader', 'Hal Holbrook', 'Tommy Lee Jones', 'John Hawkes', 'Jackie Earle Haley', 'Bruce McGill', 'Tim Blake Nelson', 'Joseph Cross', 'Jared Harris', 'Lee Pace', 'Pete McRobbie', 'Gulliver McGrath', 'Gloria Reuben', 'Jeremy Strong', 'Michael Stuhlbarg', 'Boris McGoff', 'David Costabell', 'Stephen Spinella', 'Walton Goggins', 'David Warshofsky', 'Colman Domingo', 'David Oyelowo', 'Lucas Haas', 'Dane DeHaan', 'Bill Camp', 'Elizabeth Marvel', 'Byron Jennings', 'Juliet White', 'Granger Haynes', 'Richard Topper', 'Walt Smith', 'Dakin Matthews', 'James 'Ike' Eichling', 'Wayne Duvall', 'Bill Raymond', 'Michael Stanton Kennedy', 'Mike Shiflett', 'Gregory Etzion', 'Stephen Henderson', 'John Hutton', 'Adam Driver', 'Asa-Luke Twocrow', 'Christopher Evan Welch', 'Ted Johnson', 'Raynor Scheine', 'Epasha Merkerson', 'Christopher Boyer']",7.7,"In 1865, the four-year American Civil War came to an end, and President Abraham Lincoln (Daniel Day-Lewis) also ushered in his second term. In the last four months of his life and term, Lincoln had been engaged in a battle more difficult than the Civil War: promoting the passage of the 13th Amendment to the Constitution through Congress. This bill would legally and permanently abolish slavery in the United States. However, the timing of the amendment was extremely bad: the idea of ​​abolition lacked public response; Congress was controlled by conservative forces; radicals who supported abolition were also dissatisfied with Lincoln's style. When the seceding southern states expressed their desire to return to the negotiating table and end the Civil War, Lincoln found himself faced with a painful decision: to achieve a compromised peace, or to stick to his inner morality? Ending slavery, or ending war?
                                        
                                    ""If slavery wasn't wrong, then nothing was right."" Based on the historical book ""Team of Rivals: The Political Wisdom of Lincoln,"" written by Pulitzer Prize winner Tony Kushner, directed by Oscar director Steven Spielberg, and starring two-time actor Daniel Day-Lewis, the biographical blockbuster ""Lincoln"" leads the audience...",Drama/Biography/History,https://www.imdb.com/title/tt0443272,English,150分钟,
395,Yangtze River Map,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2374818544.jpg,Chinese mainland,2016-09-09(中国大陆),Yang Chao,"['Qin Hao', 'Xin Zhilei', 'Wu Lipeng', 'Jiang Hualin', 'Tan Kai', 'Wang Hongwei']",6.8,"Contemporary, along the Yangtze River in China.
                                    
                                Captain Gao Chun (played by Qin Hao) is driving a cargo ship along the Yangtze River to deliver goods, and keeps going ashore in search of romantic encounters. But he gradually discovers that the women he met at different docks seem to be the same person-Anlu (Xin Zhilei). Just as the voyage goes up, Anlu is sometimes gentle and sometimes crazy, but he becomes younger and younger. Gao Chun fell in love with Anlu and kept stopping the boat to meet her. He gradually discovered that the places where Anlu appeared were related to a handwritten poetry collection by an unknown author.
                                    
                                But after the ship passed the Three Gorges, Anlu no longer appeared.
                                    
                                Gao Chun frantically searched for Anlu, and discovered the pattern of Anlu's appearance in poetry collections and route maps. There was an accident on the ship, but he desperately drove the cargo ship alone and continued to trace the Yangtze River to the snowy mountains at the source. Finally, he discovered the origin of the Anlu and the secret of the Yangtze River.",Drama/Romance,https://www.imdb.com/title/tt5470448,Mandarin Chinese,116分钟(柏林电影节),
396,method school 메소드,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502082901.jpg,South Korea,2017-10-13(釜山电影节),Fang Yinzhen,"['Park Sung-woong', 'Oh Seung-hoon', 'Yoon Seung-ah', 'Yoo Tae-ho', 'Kim Beom-joon', 'Lee Min-woong']",6.8,"Talented actor Jae Ha and popular idol Young Woo play a gay couple in a stage play together. Yingyou's arrogant and careless attitude made Zaiha, who always devoted himself to performing, very angry. The two often quarreled during rehearsals. During a rehearsal, Yingyou was moved by Zai Xia's superb performance, and he began to devote himself seriously to the performance. The two gradually fell in love with each other and fell into a love-hate entanglement that was difficult to distinguish between reality and reality...",Drama/Romance/Same-sex,https://www.imdb.com/title/tt7022402,Korean,82分钟,
397,Iron Man 2 Iron Man 2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p451885601.jpg,USA,2010-05-07(中国大陆/美国),Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Mickey Rourke', 'Scarlett Johansson', 'Sam Rockwell', 'Don Cheadle', 'Samuel L. Jackson', 'Jon Favreau', 'Paul Bettany', 'Clark Gregg', 'Kate Mara', 'John Slattery']",7.6,"Iron Man Tony Stark (Robert Downey Jr.) refused to hand over the latest technology at a congressional hearing. At the same time, he discovered that the miniature arc reactor on his chest was rapidly poisoning the blood with palladium metal. The frustrated Tony handed over the position of president of Stark Corporation to Secretary Potts (Gwyneth Paltrow), who was solely responsible for the ongoing Stark Expo in New York. Poz transferred assistant Natalie (Scarlett Johansson) from the legal department to take care of Tony. Tony's high-profile appearance in front of the media aroused dissatisfaction with Ivan (Mickey Rourke), the son of his father's colleague. In order to carry out revenge, he inherited his father's business and developed a set of equipment comparable to the steel suit. Ivan's technology caught the attention of Tony's rival, arms dealer Justin Hammer (Sam Rockwell). He managed to hijack Ivan from prison and secretly research to replace Iron Man. Just as Tony was suffering from the loss caused by palladium metal poisoning...",Action/Science Fiction/Adventure,https://www.imdb.com/title/tt1228705,English / French / Russian,124 分钟,
398,rigged city 조작된 도시,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2428791183.jpg,South Korea,2017-02-09(韩国),Park Kwang-hyun,"['Ji Chang Wook', 'Shim Eun Kyung', 'Oh Jung Se', 'Kim Sang Ho', 'Ahn Jae Hong']",7.5,"""Rigged City"" stars actors Ji Chang-wook, Shim Eun-kyung, Oh Jung-se, Kim Sang-ho, Kim Ki-cheon, Ahn Jae-hong, Kim Min-kyo and others. Director Park Kwang-hyun directed the 2005 movie ""Welcome to Dongmok Village"" with a box office of over 8 million. Ji Chang-wook, who was filming in Yongsan for the first time that day, said: ""Nervous, excited, and hopeful. I filmed with such mixed emotions. I am sure this is a very interesting work. I am looking forward to future filming."" Director Park Kwang-hyun said: ""When I wrote the script, the characters that came to my mind were exactly the same as those of the actors. Therefore, I have great expectations for this work. It feels great to shoot for the first time. I will work hard to shoot with my heart and strive to present an excellent movie to the public.""
                                    
                                ""Rigged City"" is a crime action movie that tells the story of a man who is slandered as a murderer for no reason and then confronts the faked incident.",action/crime,https://www.imdb.com/title/tt6399158,Korean,126分钟,
399,beauty secrets,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2127293343.jpg,Hong Kong / Mainland China,2010-03-30,Wang Jing,"['Charlene Choi', 'Sandra Ng', 'Lu Yi', 'Xie Na', 'Fan Shaohuang', 'William Chan', 'Jim Ruiwen', 'Xu Siu-hung']",5.4,"Agile, youthful and sunny Zhong Aifang (Charlene Choi) has finally become a police officer like her father, a part-time worker (played by Hui Siu-hung). She encounters a major case on her first day at work. In order to testify against the gangster Tianye (played by Wang Jing), the crime team is looking for important witness Fei Wei (played by Lin Xue), and Tianye also wants to kill Fei Wei and silence him. Ai Fang showed her talents for the first time, defeated Tian Ye's men, and captured Fei Wei. Fei Wei made a request. As long as the police can protect his daughter Junjun (played by Li Manyun) who participated in the Miss China Cup Beauty Pageant, he agreed to testify in court. Detective Superintendent Lu Zhiang (played by Lu Yi) of the Crime Unit sends Ai Fang to join the beauty pageant team to secretly protect Junjun. At the same time, Lu Zhiang, police elite Yuan Zidan (played by Fan Shaohuang), and married woman Tie MaLi (played by Sandra Ng) also sneak into the TV station, and the cameras are moving. God knew Junjun's life experience, so he sent a killer to attack her. All forces gather here, and successive battles are inevitable...",comedy,https://www.imdb.com/title/tt1611907,Cantonese / Mandarin Chinese,98分钟,
400,Toy Story 4 Toy Story 4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557284230.jpg,USA,2019-06-21(美国/中国大陆),Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Madeline McGraw', 'Christina Hendricks', 'Jordan Peele', 'Keanu Reeves', 'Ellie Matsumura', 'Jay Hernandez', 'Rory Allen', 'Joan Cusack', 'Bonnie Hunt', 'Kristen Schaal', 'Wallace Shawn', 'John Ratzenberger', 'Blake Clark', 'Joan Squibb', 'Carl Weathers', 'Don Rickles', 'Jeff Garlin', 'Julianna Hansen', 'Estelle Harris', 'Laurie Metcalf', 'Steve Poser', 'Mel Brooks', 'Alan Oppenheimer', 'Carol Burnett', 'Betty White', 'Carl Reiner', 'Bill Hader', 'Patricia Arquette', 'Timothy Dalton', 'Foley', 'Melissa Villaseno', 'Jeff Pidgeon', 'John Morris']",8.6,"Woody knows that his mission in this world is to take care of his master, whether it is the original Andy or the new master Bonnie. When Bonnie brought home ""Chacha"" who was unwilling to become a toy, Woody took on the responsibility of teaching Chacha to accept his new identity. However, when Bonnie takes all the toys on a family trip in the RV, Woody and her friends will embark on a new adventure together, appreciate how vast the world outside the room is, and even encounter an old friend, the Shepherdess. Over the years of wandering alone, the Shepherdess has become adventurous and no longer just a delicate doll. Just as Woody and Shepherdess discovered that they had very different meanings to the toy's mission, they soon realized that a greater threat was coming...",Comedy/Animation/Fantasy,https://www.imdb.com/title/tt1979376,English,100分钟,
401,You kind of love me,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2225669293.jpg,Chinese mainland,2015-02-06(中国大陆),Li Xinman,"['Jiang Yiyan', 'Zheng Kai', 'Yu Xiao', 'Yu Jiameng', 'Chang Fangyuan', 'Chen Zuoshen', 'Liu Sha', 'Shi Yueling', 'Li Changlin', 'Tan Shasha', 'Hasgaowa', 'Wang Yingran']",4.6,"Zuo Xiaoxin (played by Jiang Yiyan) is a well-known architect. Her happy and fulfilling life with no worries about food and clothing means that she does not need to use marriage as a ""job"". After witnessing the fragility of relationships, she has also lost the most basic trust in men. However, as time goes by, Zuo Xiaoxin wants a child. How to skip ""man"" and ""marriage"" and get ""child""? This has become the biggest problem Zuo Xiaoxin is currently studying.
                                    
                                By chance, Zuo Xiaoxin met the host of a program named Cha Yi (played by Zheng Kai). After going back and forth, Zuo Xiaoxin became pregnant with Cha Yi's flesh and blood. However, the simple and ignorant Cha Yi knew nothing about all this and Zuo Xiaoxin's ""conspiracy"". A year passed in the blink of an eye, Zuo Xiaoxin told Cha Yi all the truth. While he was shocked and angry, the family love that was thicker than water also rippled in Cha Yi's heart.",Comedy/Romance,https://www.imdb.com/title/tt4561398,Mandarin Chinese,105分钟,
402,Macau Casino Casino Casino,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167451620.jpg,"Mainland China/Hong Kong, China",2014-01-31(中国大陆),Wang Jing,"['Chow Yun-fat', 'Nicholas Tse', 'To Wen-ze', 'Jing Tian', 'Gao Hu', 'Wu Chenjun', 'Xu Shaoxiong', 'Zhang Jin', 'Wang Minde', 'Shen Zhenxuan', 'Tong Fei', 'Ng Yunlong']",5.7,"Famous at home and abroad, the magician Shi Yijian (played by Chow Yun-fat), who once served as the general security consultant of American casinos, finally returned to Macau to retire and even invited friends from all over the world to celebrate his birthday. Among them, friend Benz (played by Hui Siu-hung), his son Shan Leng (played by Nicholas Tse) and nephew Niu Bisheng (played by To Man Chak) specially came to Macau from Hong Kong to celebrate.
                                        
                                    The next day, the police from Mainland China, Hong Kong and Macau unexpectedly approached Shi Yijian, hoping that he could come back to help deal with Mr. Gao (played by Gao Hu) of the DOA organization group, but Jian declined on the grounds of retirement.
                                        
                                    On the other side, Leng Jing and Niu Bisheng came to the door together, hoping that Jian would accept them as their younger brothers. Although Jian liked Xiao Leng, he had already retired, so he had no choice but to refuse, but for the sake of Benz, he entertained him for one night. Unexpectedly, they met a killer (played by Zhang Jin) that night. The killers directly pursued Xiao Leng and Brother Jian's beloved daughter Acai (played by Tong Fei) regardless of the reason. Although Chinese police officer Luo Xin (played by Jing Tian) rescued him during this period, A Cai could not escape the disaster and was killed until he lost his memory.
                                        
                                    After conducting an open and covert investigation, we found out that the man behind the scenes was actually Mr. Gao. How could things happen for no reason? Jian and Xiao Leng join forces to...",comedy/action,https://www.imdb.com/title/tt3444184,Mandarin Chinese / Cantonese / English / Portuguese / Thai / Korean / Japanese,93分钟,
403,old beast,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507370070.jpg,Chinese mainland,2017-12-11(中国大陆),Zhou Ziyang,"['Tumen', 'Wang Chaobei', 'Idana', 'Wang Mingshuo', 'Su Feng', 'Alateng Wula', 'Zizizi', 'Sun Jiaqin', 'Huang Wei']",7.1,"Lao Yang was once a newly wealthy person in the era of turbulent wealth. Now he has been bankrupt for many years and is unemployed at home. One day, he misappropriated his wife's life-saving surgery fees, which made his children intolerable. A ridiculous farce was staged in which his son kidnapped me. Lao Yang was angry that he did not appreciate the kindness of raising him, and resolutely took the unfilial son to court... This modern family farce ended in tragedy.",plot,https://www.imdb.com/title/tt7481246,Mandarin Chinese / Inner Mongolian dialect,110分钟,
404,Alien: Covenant,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2459944375.jpg,USA,2017-06-16(中国大陆),Ridley Scott,"['Michael Fassbender', 'Katherine Waterston', 'Billy Crudup', 'Danny McBride', 'Demian Bichir', 'Carmen Ejogo', 'Jussie Smollett', 'Cauley Hernandez', 'Amy Simitz', 'Nathaniel Dean', 'Alexander England', 'Benjamin Rigby', 'Uli Ratukifu', 'Tess Hawbridge', 'Lorelei King', 'Javier Botet', 'James Franco', 'Guy Pearce', 'Noomi Rapace']",7.4,"The story takes place on a colonial spaceship called ""Covenant"", which carries two thousand sleeping colonists. Their destination is the distant planet Omega Six, hoping to establish a new home there. An accident caused damage to the Covenant's energy-collecting sail, and captain Branson (James Franco) also died unfortunately. As acting captain, Orang (Billy Crudup) led a frightened and sad crew to land on an unknown and mysterious planet.
                                    
                                Here, they met the android David (Michael Fassbender). David enthusiastically accepted the arrival of humans and told about his experience living here with the late Dr. Shaw (Noomi Rapace). As David gradually wins the trust of the crew, everyone has stepped step by step into the hell that the former has carefully created for them.",Sci-fi/Horror,https://www.imdb.com/title/tt2316204,English,122分钟,
405,inner beauty 뷰티 인사이드,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2248466858.jpg,South Korea,2015-08-20(韩国),Bai Zonglie,"['Han Hyo-joo', 'Kim Dae-myeong', 'Do Ji-han', 'Park Shin-hye', 'Lee Beom-soo', 'Park Seo-joon', 'Kim Sang-ho', 'Cheon Woo-hee', 'Jo Dal-hwan', 'Lee Jin-wook', 'Seo Kang-jun', 'Lee Dong-wook', 'Go Ah-sung', 'Kim Joo-hyuk', 'Yoo Yeon-seok', 'Ueno Juri', 'Moon Sook', 'Shin Dong-mi', 'Lee Jae-jun', 'Lee Hyun-woo', 'Kim Hee-won']",7.6,"Furniture designer Kim Woo-jin has an unknown secret: every day he wakes up and becomes a person whose age, nationality, and gender are completely different from the day before. Sometimes he is young and handsome, sometimes he is old. He has to adapt to his new self every day. How should he fall in love like this?
                                    
                                As fate would have it, he meets Li Xiu (Han Hyo Joo), a beautiful girl with similar interests. In his mysterious and unpredictable life, the only thing that remains unchanged is Li Xiu's love for him. But the love between the two also faces a new test after every ""transformation"" of Yu Zhen.",Drama/Romance/Fantasy,https://www.imdb.com/title/tt4273886,Korean / Japanese / Czech / English / Mandarin Chinese,127分钟,
406,The Book of Life The Book of Life,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2185408796.jpg,USA,2014-10-17(美国),Jorge R. Gutierrez,"['Diego Luna', 'Zoe Saldana', 'Channing Tatum', 'Ron Perlman', 'Christina Applegate', 'Ice Cooper', 'Kate del Castillo', 'Héctor Elizondo', 'Danny Trejo', 'Carlos Arrasraci', 'Ana de la Reguera', 'Emile-Bastian Bouffard', 'Elijah Rodriguez', 'Genesis Ochoa', 'Plácido Domingo', 'Jorge R. Gutierrez', 'Eugene Delvez', 'Gabriel Iglesias', 'Trey Bupers', 'Dan Navarro', 'Kennedy Peele', 'Miguel Sandoval', 'Grey DeLisle', 'Ben Glib', 'Ricardo Elmandri Sanchez', 'Chechi Marin', 'Ishan Sharma', 'Angela Johnson', 'Sandra Aquihua', 'Callaghan Clark', 'Gonna Sizemore', 'Angelica María', 'Eric Bauza', 'Aaron Warner', 'Sandra Echeverría', 'Tonita Castro', 'Troy Evans', 'Guillermo del Toro', 'Brad Booker']",7.8,"In the film, the male protagonist Manolo (voiced by Mexican actor Diego Luna) must defeat his love rival Joaquin (voiced by Channing Tatum) and win the heart of his lover Maria (Zoe Saldana). To this end, he not only had to outsmart Manolo and the fencing master Maria himself, but also had to travel through ""The Land of the Remembered"", resist various temptations, and return to the world.
                                    
                                The film is magnificent, colorful and full of Mexican cultural elements. Mexicans believe that death is the end of life and the beginning of new life. The first two days of November every year is the traditional festival ""Dia de Muertos"", which is celebrated grandly across the country. Masks are worn everywhere, and bread and candies are decorated with the image of skeletons. The colors, musical instruments and even food of the ""Remembered Place"" in the film, as well as Manolo's skull shape, all draw inspiration from the traditional customs of the ""Ghost Festival"".",Comedy/Animation/Fantasy/Adventure,https://www.imdb.com/title/tt2262227,English / Spanish,95分钟,
407,accomplice accomplice,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1943448253.jpg,Hong Kong / Mainland China,2013-04-27(中国大陆),Peng Shun,"['Aaron Kwok', 'Nick Cheung', 'Jiang Yiyan', 'Chen Guantai', 'Li Chenhao', 'A Niu', 'Xiao Fei', 'Lin Wei', 'Wang Jun', 'Liang Yagao']",5.0,"Thirty years ago, his parents were murdered. The true identity of the murderer and the motive of the murder are both a mystery. Private detective Chen Qiang (played by Aaron Kwok) tracked him all the way to Malaysia, just to find out the cause of his parents' death. However, people who had contacts with his parents recalled inconsistencies in their accounts and discouraged him from pursuing further investigations. During this period, Chen Qiang's home was also broken into and searched. When he was isolated and helpless, he turned to local private detective Zheng Fengxi (played by Zhang Jiahui) and asked him to help find the background of the relevant people and the whereabouts of certain important figures. Zheng was worried about his brother's affairs at the moment, but he couldn't bear Chen's provocation and resolutely accepted the commission.
                                    
                                But from the day the investigation began, all kinds of dangers followed. Intertwined with the evil shadow of drugs and desire, the two detectives whose lives hang on a thread are gradually getting closer to the truth of the year...",Drama/Suspense/Crime,https://www.imdb.com/title/tt2927068,Chinese Mandarin / Cantonese,102分钟,
408,The Two Popes,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567299222.jpg,UK/Italy,2019-08-31(特柳赖德电影节),Fernando Merrills,"['Anthony Hopkins', 'Jonathan Pryce', 'Juan Minuchin', 'Luis Nico', 'Christina Banigas', 'Maria Usdo', 'Renato Scarpa', 'Sidney Cole', 'Achille Brunini', 'Federico Torre', 'Herman de Silva', 'Lisaandro Fix', 'Libero de Rienzo', 'Willie Jonah', 'Sofia Cesak', 'Vincent Riott', 'Cecilia Dazzi', 'Sergio Nicola', 'Lorenzo Vigavanno', 'Pope Benedict XVI', 'Pope Francis']",8.6,"This is a true story about one of the most dramatic power transfer events in the past 2000 years. Bishop Bergoglio (played by Jonathan Pryce) is so frustrated with the direction of the church that he asks Pope Benedict (played by Anthony Hopkins) to retire in 2012. But in the face of scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome, where within the walls of the Vatican a battle begins between tradition and progress, sin and forgiveness, as these two very different men confront their pasts in an attempt to find common ground and forge a future for a billion believers around the world.",Drama/Biography,https://www.imdb.com/title/tt8404614,Latin / English / Spanish / Italian / French / Portuguese / German,125分钟,
